Linux 5.4.0-164-generic (node-0.load-balance.autondp-pg0.utah.cloudlab.us) 	03/12/2024 	_x86_64_	(32 CPU)

03:43:11 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:45:52 PM     all      0.06      0.00      0.00      0.00      0.00     99.94
03:45:53 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:45:54 PM     all      0.12      0.00      0.06      0.00      0.00     99.81
03:45:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:45:56 PM     all      0.13      0.00      0.03      0.00      0.00     99.84
03:45:57 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
03:45:58 PM     all      0.09      0.00      0.00      0.00      0.00     99.91
03:45:59 PM     all      0.06      0.00      0.00      0.00      0.00     99.94
03:46:00 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
03:46:01 PM     all      0.09      0.00      0.09      0.00      0.00     99.81
03:46:02 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:46:03 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
03:46:04 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:46:05 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
03:46:06 PM     all      0.16      0.00      0.06      0.00      0.00     99.78
03:46:07 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:46:08 PM     all      0.09      0.00      0.06      0.00      0.00     99.84
03:46:09 PM     all      0.62      0.00      0.00      0.00      0.00     99.38
03:46:10 PM     all      0.09      0.00      0.06      0.03      0.00     99.81
03:46:11 PM     all      0.22      0.00      0.06      0.00      0.00     99.72
03:46:12 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:46:13 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
03:46:14 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:46:15 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:46:16 PM     all      0.13      0.00      0.03      0.00      0.00     99.84
03:46:17 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:46:18 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
03:46:19 PM     all      0.09      0.00      0.03      0.00      0.00     99.87
03:46:20 PM     all      0.06      0.00      0.00      0.06      0.00     99.87
03:46:21 PM     all      0.13      0.00      0.03      0.00      0.00     99.84
03:46:22 PM     all      0.06      0.00      0.00      0.00      0.00     99.94
03:46:23 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
03:46:24 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:46:25 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
03:46:26 PM     all      0.22      0.00      0.09      0.09      0.00     99.59
03:46:27 PM     all      0.03      0.00      0.06      0.00      0.00     99.91
03:46:28 PM     all      0.06      0.00      0.06      0.00      0.00     99.87
03:46:29 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:46:30 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
03:46:31 PM     all      0.12      0.00      0.09      0.00      0.00     99.78
03:46:32 PM     all      0.63      0.00      0.00      0.00      0.00     99.37
03:46:33 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
03:46:34 PM     all      0.06      0.00      0.00      0.00      0.00     99.94
03:46:35 PM     all      0.03      0.00      0.03      0.03      0.00     99.91
03:46:36 PM     all      0.16      0.00      0.13      0.00      0.00     99.72
03:46:37 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
03:46:38 PM     all      0.03      0.00      0.06      0.00      0.00     99.91
03:46:39 PM     all      0.16      0.00      0.00      0.00      0.00     99.84
03:46:40 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:46:41 PM     all      0.06      0.00      0.03      0.00      0.00     99.91
03:46:42 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
03:46:43 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
03:46:44 PM     all      0.09      0.00      0.06      0.00      0.00     99.84
03:46:45 PM     all      0.09      0.00      0.09      0.00      0.00     99.81
03:46:46 PM     all      0.22      0.00      0.03      0.00      0.00     99.75
03:46:47 PM     all      0.06      0.00      0.00      0.00      0.00     99.94
03:46:48 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
03:46:49 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
03:46:50 PM     all      0.72      0.00      0.06      0.00      0.00     99.22
03:46:51 PM     all      0.19      0.00      0.06      0.00      0.00     99.75
03:46:52 PM     all      0.09      0.00      0.00      0.00      0.00     99.91
03:46:53 PM     all      0.06      0.00      0.03      0.00      0.00     99.91
03:46:54 PM     all      0.16      0.00      0.06      0.00      0.00     99.78
03:46:55 PM     all      0.03      0.00      0.09      0.00      0.00     99.88
03:46:56 PM     all      0.19      0.00      0.06      0.00      0.00     99.75
03:46:57 PM     all      0.09      0.00      0.06      0.00      0.00     99.84
03:46:58 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:46:59 PM     all      0.06      0.00      0.06      0.03      0.00     99.84
03:47:00 PM     all      0.06      0.00      0.00      0.00      0.00     99.94
03:47:01 PM     all      0.16      0.00      0.13      0.00      0.00     99.72
03:47:02 PM     all      0.03      0.00      0.09      0.00      0.00     99.87
03:47:03 PM     all      0.06      0.00      0.03      0.00      0.00     99.91
03:47:04 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
03:47:05 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
03:47:06 PM     all      0.12      0.00      0.09      0.00      0.00     99.78
03:47:07 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
03:47:08 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:47:09 PM     all      0.03      0.00      0.09      0.09      0.00     99.78
03:47:10 PM     all      0.06      0.00      0.06      0.00      0.00     99.88
03:47:11 PM     all      0.06      0.00      0.06      0.00      0.00     99.87
03:47:12 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
03:47:13 PM     all      0.09      0.00      0.03      0.00      0.00     99.87
03:47:14 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
03:47:15 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
03:47:16 PM     all      0.00      0.00      0.09      0.00      0.00     99.91
03:47:17 PM     all      0.03      0.00      0.06      0.00      0.00     99.91
03:47:18 PM     all      0.75      0.00      0.06      0.00      0.00     99.19
03:47:19 PM     all      0.03      0.00      0.12      0.00      0.00     99.84
03:47:20 PM     all      0.16      0.00      0.00      0.00      0.00     99.84
03:47:21 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
03:47:22 PM     all      0.09      0.00      0.03      0.00      0.00     99.87
03:47:23 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
03:47:24 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
03:47:25 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
03:47:26 PM     all      0.12      0.00      0.03      0.00      0.00     99.84
03:47:27 PM     all      0.13      0.00      0.03      0.00      0.00     99.84
03:47:28 PM     all      0.06      0.00      0.06      0.00      0.00     99.88
03:47:29 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
03:47:30 PM     all      0.06      0.00      0.00      0.00      0.00     99.94
03:47:31 PM     all      0.06      0.00      0.03      0.00      0.00     99.91
03:47:32 PM     all      0.03      0.00      0.09      0.00      0.00     99.87
03:47:33 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
03:47:34 PM     all      0.06      0.00      0.09      0.00      0.00     99.84
03:47:35 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:47:36 PM     all      0.03      0.00      0.06      0.00      0.00     99.91
03:47:37 PM     all      0.06      0.00      0.09      0.00      0.00     99.84
03:47:38 PM     all      0.13      0.00      0.00      0.00      0.00     99.87
03:47:39 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:47:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:47:41 PM     all      0.09      0.00      0.00      0.00      0.00     99.91
03:47:42 PM     all      0.22      0.00      0.06      0.00      0.00     99.72
03:47:43 PM     all      0.88      0.00      0.00      0.00      0.00     99.12
03:47:44 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
03:47:45 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:47:46 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
03:47:47 PM     all      0.06      0.00      0.06      0.00      0.00     99.87
03:47:48 PM     all      0.16      0.00      0.06      0.00      0.00     99.78
03:47:49 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
03:47:50 PM     all      0.12      0.00      0.06      0.00      0.00     99.81
03:47:51 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:47:52 PM     all      0.12      0.00      0.09      0.00      0.00     99.78
03:47:53 PM     all      0.06      0.00      0.06      0.00      0.00     99.88
03:47:54 PM     all      0.03      0.00      0.03      0.03      0.00     99.91
03:47:55 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
03:47:56 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
03:47:57 PM     all      0.12      0.00      0.09      0.00      0.00     99.78
03:47:58 PM     all      0.06      0.00      0.03      0.00      0.00     99.91
03:47:59 PM     all      0.06      0.00      0.00      0.00      0.00     99.94
03:48:00 PM     all      0.03      0.00      0.12      0.00      0.00     99.84
03:48:01 PM     all      0.06      0.00      0.03      0.00      0.00     99.91
03:48:02 PM     all      0.34      0.00      0.16      0.00      0.00     99.50
03:48:03 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
03:48:04 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:48:05 PM     all      0.06      0.00      0.03      0.00      0.00     99.91
03:48:06 PM     all      0.06      0.00      0.00      0.00      0.00     99.94
03:48:07 PM     all      0.09      0.00      0.06      0.00      0.00     99.84
03:48:08 PM     all      0.06      0.00      0.03      0.00      0.00     99.91
03:48:09 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
03:48:10 PM     all      0.03      0.00      0.06      0.00      0.00     99.91
03:48:11 PM     all      0.85      0.00      0.03      0.00      0.00     99.12
03:48:12 PM     all      0.16      0.00      0.06      0.00      0.00     99.78
03:48:13 PM     all      0.06      0.00      0.00      0.00      0.00     99.94
03:48:14 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:48:15 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
03:48:16 PM     all      0.03      0.00      0.09      0.00      0.00     99.88
03:48:17 PM     all      0.16      0.00      0.00      0.00      0.00     99.84
03:48:18 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
03:48:19 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
03:48:20 PM     all      0.03      0.00      0.06      0.00      0.00     99.91
03:48:21 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
03:48:22 PM     all      0.09      0.00      0.06      0.00      0.00     99.84
03:48:23 PM     all      0.06      0.00      0.00      0.00      0.00     99.94
03:48:24 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:48:25 PM     all      0.12      0.00      0.00      0.00      0.00     99.88
03:48:26 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:48:27 PM     all      0.19      0.00      0.03      0.00      0.00     99.78
03:48:28 PM     all      0.06      0.00      0.09      0.00      0.00     99.84
03:48:29 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
03:48:30 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:48:31 PM     all      0.06      0.00      0.00      0.00      0.00     99.94
03:48:32 PM     all      0.13      0.00      0.03      0.00      0.00     99.84
03:48:33 PM     all      0.09      0.00      0.03      0.00      0.00     99.87
03:48:34 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:48:35 PM     all      0.06      0.00      0.00      0.00      0.00     99.94
03:48:36 PM     all      0.06      0.00      0.09      0.00      0.00     99.84
03:48:37 PM     all      0.06      0.00      0.06      0.00      0.00     99.87
03:48:38 PM     all      0.66      0.00      0.00      0.00      0.00     99.34
03:48:39 PM     all      0.13      0.00      0.00      0.00      0.00     99.87
03:48:40 PM     all      0.12      0.00      0.06      0.00      0.00     99.81
03:48:41 PM     all      0.06      0.00      0.09      0.00      0.00     99.84
03:48:42 PM     all      0.13      0.00      0.00      0.00      0.00     99.87
03:48:43 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
03:48:44 PM     all      0.03      0.00      0.06      0.00      0.00     99.91
03:48:45 PM     all      0.13      0.00      0.00      0.00      0.00     99.87
03:48:46 PM     all      0.13      0.00      0.00      0.00      0.00     99.87
03:48:47 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
03:48:48 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
03:48:49 PM     all      0.09      0.00      0.03      0.03      0.00     99.84
03:48:50 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
03:48:51 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
03:48:52 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:48:53 PM     all      0.12      0.00      0.12      0.00      0.00     99.75
03:48:54 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
03:48:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:48:56 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
03:48:57 PM     all      0.06      0.00      0.03      0.03      0.00     99.87
03:48:58 PM     all      0.09      0.00      0.09      0.00      0.00     99.81
